user_id,year,month,spend_count,cash_in_count,total_spend,total_cash_in,segments,month_year
0d1cdffe-3477-454b-8768-c925493dc997,2025,4,6,1,4099.961,1723.23,"FITNESS, GROCERS",2025-04-01
25a78d59-57da-4809-b22d-acaf3b5a2841,2025,4,6,1,3736.8885,175.5309,"FITNESS, GROCERS",2025-04-01
7095617f-199c-4da1-9480-ee0125d85767,2025,4,6,1,3427.5084,559.6577,"FITNESS, GROCERS",2025-04-01
b639cf7b-afa2-467d-91b8-6afc35b1f91c,2025,4,6,1,3070.6608,274.6342,"FITNESS, GROCERS",2025-04-01
9a3ebb00-bcbb-4453-98e0-fdeaa0405b9f,2025,4,6,1,2939.3321,744.529,"FITNESS, GROCERS",2025-04-01
1fe25000-ca4c-4b94-ba8c-e8d58afb1cf6,2025,4,1,1,10.5274,22.6788,"FITNESS, GROCERS",2025-04-01
25a78d59-57da-4809-b22d-acaf3b5a2841,2025,3,117,14,74985.2277,72975.9169,"FITNESS, GROCERS",2025-03-01
b639cf7b-afa2-467d-91b8-6afc35b1f91c,2025,3,117,14,74905.5482,71644.5225,"FITNESS, GROCERS",2025-03-01
7095617f-199c-4da1-9480-ee0125d85767,2025,3,117,14,71131.7682,45368.1824,"FITNESS, GROCERS",2025-03-01
0d1cdffe-3477-454b-8768-c925493dc997,2025,3,117,14,66220.1533,60371.9897,"FITNESS, GROCERS",2025-03-01
9a3ebb00-bcbb-4453-98e0-fdeaa0405b9f,2025,3,117,14,63773.3153,58991.049,"FITNESS, GROCERS",2025-03-01
eeeabeab-c2f8-407e-bfb9-04e2dea2ea29,2025,3,22,3,58710.0131,21860.4273,"FITNESS, GROCERS",2025-03-01
1fe25000-ca4c-4b94-ba8c-e8d58afb1cf6,2025,3,21,10,648.3606,670.4126,"FITNESS, GROCERS",2025-03-01
55cfeb95-213c-43a4-85f9-3f3f9448009c,2025,3,1,0,15.8354,0.0,"FITNESS, GROCERS",2025-03-01
f451970a-3db7-46ad-8488-2a95f1828833,2025,3,0,1,0.0,0.6818,"FITNESS, GROCERS",2025-03-01
7095617f-199c-4da1-9480-ee0125d85767,2025,2,100,11,54737.248999999996,84226.05960000001,"FITNESS, GROCERS",2025-02-01
b639cf7b-afa2-467d-91b8-6afc35b1f91c,2025,2,100,11,54081.667,70118.7006,"FITNESS, GROCERS",2025-02-01
0d1cdffe-3477-454b-8768-c925493dc997,2025,2,100,11,53371.9943,84678.0272,"FITNESS, GROCERS",2025-02-01
25a78d59-57da-4809-b22d-acaf3b5a2841,2025,2,100,11,49799.1885,78625.0652,"FITNESS, GROCERS",2025-02-01
9a3ebb00-bcbb-4453-98e0-fdeaa0405b9f,2025,2,100,11,48111.6254,39132.2763,"FITNESS, GROCERS",2025-02-01
55cfeb95-213c-43a4-85f9-3f3f9448009c,2025,2,15,11,12980.4907,23789.26,"FITNESS, GROCERS",2025-02-01
eeeabeab-c2f8-407e-bfb9-04e2dea2ea29,2025,2,13,3,2458.6657999999998,17320.0553,"FITNESS, GROCERS",2025-02-01
1fe25000-ca4c-4b94-ba8c-e8d58afb1cf6,2025,2,6,2,676.5054,490.3619,"FITNESS, GROCERS",2025-02-01
f451970a-3db7-46ad-8488-2a95f1828833,2025,2,0,1,0.0,1.0815,"FITNESS, GROCERS",2025-02-01
9a3ebb00-bcbb-4453-98e0-fdeaa0405b9f,2025,1,166,25,116501.2249,120848.8822,"FITNESS, GROCERS",2025-01-01
7095617f-199c-4da1-9480-ee0125d85767,2025,1,166,25,115504.1874,107961.9109,"FITNESS, GROCERS",2025-01-01
25a78d59-57da-4809-b22d-acaf3b5a2841,2025,1,166,25,114968.4808,132664.5445,"FITNESS, GROCERS",2025-01-01
b639cf7b-afa2-467d-91b8-6afc35b1f91c,2025,1,166,25,109667.8792,128643.8112,"FITNESS, GROCERS",2025-01-01
0d1cdffe-3477-454b-8768-c925493dc997,2025,1,166,25,108487.4623,105154.0434,"FITNESS, GROCERS",2025-01-01
eeeabeab-c2f8-407e-bfb9-04e2dea2ea29,2025,1,10,5,10417.761899999998,22266.9156,"FITNESS, GROCERS",2025-01-01
f451970a-3db7-46ad-8488-2a95f1828833,2025,1,2,1,609.7631,140.4929,"FITNESS, GROCERS",2025-01-01
1fe25000-ca4c-4b94-ba8c-e8d58afb1cf6,2025,1,20,8,541.713,671.6027,"FITNESS, GROCERS",2025-01-01
55cfeb95-213c-43a4-85f9-3f3f9448009c,2025,1,4,2,205.5977,173.7607,"FITNESS, GROCERS",2025-01-01
