user_id,year,month,spend_count,cash_in_count,total_spend,total_cash_in,segments,month_year
3b9c7b8e-b33c-4879-ab1a-7c958154e8be,2025,4,4,4,7312.889,63164.662,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-04-01
45dda4d9-ece8-48c2-979c-a3859f2032c5,2025,4,4,4,5969.3364,76036.6567,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-04-01
3769cce7-f672-4e09-b3b0-8feb51613000,2025,4,2,0,154.7814,0.0,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-04-01
3b9c7b8e-b33c-4879-ab1a-7c958154e8be,2025,3,107,72,816933.7987,718111.1341,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-03-01
45dda4d9-ece8-48c2-979c-a3859f2032c5,2025,3,107,72,626665.3873,866559.0538,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-03-01
3769cce7-f672-4e09-b3b0-8feb51613000,2025,3,144,18,42247.6342,35013.3733,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-03-01
45dda4d9-ece8-48c2-979c-a3859f2032c5,2025,2,102,36,1321615.5537,1261913.5248,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-02-01
3b9c7b8e-b33c-4879-ab1a-7c958154e8be,2025,2,102,36,1320408.2063,1021586.8138,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-02-01
3769cce7-f672-4e09-b3b0-8feb51613000,2025,2,74,9,30699.2496,38330.7191,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-02-01
3b9c7b8e-b33c-4879-ab1a-7c958154e8be,2025,1,36,13,464664.207,202027.8129,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-01-01
45dda4d9-ece8-48c2-979c-a3859f2032c5,2025,1,36,13,346297.6603,704155.3683,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-01-01
3769cce7-f672-4e09-b3b0-8feb51613000,2025,1,81,23,28870.3695,46689.7587,"GOURMET, TRENDY_CAMPAIGNERS, HUNGRY_FOODIES",2025-01-01
