user_id,year,month,spend_count,cash_in_count,total_spend,total_cash_in,segments,month_year
187566a2-186d-4c8c-a8aa-f1b25ce9a43e,2025,4,2,2,4438.7896,615.2456,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
db735799-2fb3-4cdc-aeb0-5a22eb0536d9,2025,4,16,2,1947.0102,2578.9265,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
07663bb0-2675-463c-a332-44dab688bf21,2025,4,3,1,1728.7492,667.7827,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
75fa5464-20d2-477e-9096-ccd57209a9fa,2025,4,3,1,1582.4191,1204.6416,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
8ccecb96-e6b3-46e2-8b95-27c96e2d52eb,2025,4,25,18,789.4431,693.6395,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
a87eacee-e27a-4d1a-ac07-7fbddc851d00,2025,4,2,0,607.4022,0.0,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
583cdadb-a85f-43ac-bb38-8b425645c04d,2025,4,2,1,170.65890000000002,103.5075,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
f434ce34-36b8-40c0-a638-a42302223ef6,2025,4,1,0,143.2493,0.0,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
b5397bb6-204e-4633-93e3-2b29636d620f,2025,4,1,0,84.1358,0.0,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
86c64954-0576-4299-86b0-89c0267790da,2025,4,1,1,20.0792,565.2192,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
b8f2fd54-3e8a-4b9f-aee4-274301acbb0c,2025,4,0,1,0.0,912.6878,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-04-01
db735799-2fb3-4cdc-aeb0-5a22eb0536d9,2025,3,291,79,97028.1302,93770.1462,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
187566a2-186d-4c8c-a8aa-f1b25ce9a43e,2025,3,54,32,60716.7606,72103.0497,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
8ccecb96-e6b3-46e2-8b95-27c96e2d52eb,2025,3,691,373,25769.3102,23161.0691,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
75fa5464-20d2-477e-9096-ccd57209a9fa,2025,3,79,31,23948.8775,21962.6822,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
583cdadb-a85f-43ac-bb38-8b425645c04d,2025,3,235,91,22324.1342,21862.3284,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
f434ce34-36b8-40c0-a638-a42302223ef6,2025,3,68,26,19000.8247,13787.6692,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
06d64158-8b3c-425f-93f1-54c64a9b1a6c,2025,3,46,20,11152.4148,11163.9308,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
a87eacee-e27a-4d1a-ac07-7fbddc851d00,2025,3,41,9,10110.7825,10137.8961,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
7ebc9d9a-8fdb-49cc-82ed-29796298ac24,2025,3,12,7,9621.648799999999,4385.1702000000005,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
07663bb0-2675-463c-a332-44dab688bf21,2025,3,76,20,6027.8259,12257.212,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
207a15fb-308a-41ee-b139-95e62d7fdd45,2025,3,71,12,4823.1257,3955.232,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
86c64954-0576-4299-86b0-89c0267790da,2025,3,60,19,4617.9678,4425.8572,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
bf0f7335-c574-4e9d-bd9a-0f39f4052807,2025,3,13,6,4453.2036,6754.0219,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
b8f2fd54-3e8a-4b9f-aee4-274301acbb0c,2025,3,14,2,2402.7339,1576.9801,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
b5397bb6-204e-4633-93e3-2b29636d620f,2025,3,16,10,2039.6685,1682.9704,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-03-01
187566a2-186d-4c8c-a8aa-f1b25ce9a43e,2025,2,212,159,267827.7704,279052.6856,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
db735799-2fb3-4cdc-aeb0-5a22eb0536d9,2025,2,223,83,44377.3913,64163.8727,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
75fa5464-20d2-477e-9096-ccd57209a9fa,2025,2,87,42,39705.6056,34722.2493,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
583cdadb-a85f-43ac-bb38-8b425645c04d,2025,2,267,121,27141.5501,25724.5703,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
06d64158-8b3c-425f-93f1-54c64a9b1a6c,2025,2,64,16,18950.8626,23401.9905,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
07663bb0-2675-463c-a332-44dab688bf21,2025,2,114,21,15118.4166,14845.8902,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
86c64954-0576-4299-86b0-89c0267790da,2025,2,69,20,14553.6595,8460.68,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
bf0f7335-c574-4e9d-bd9a-0f39f4052807,2025,2,42,19,12482.8442,6725.6437,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
8ccecb96-e6b3-46e2-8b95-27c96e2d52eb,2025,2,362,152,11173.8338,9473.1577,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
a87eacee-e27a-4d1a-ac07-7fbddc851d00,2025,2,27,17,10750.8843,12993.4989,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
f434ce34-36b8-40c0-a638-a42302223ef6,2025,2,37,11,10267.4311,5354.4789,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
7ebc9d9a-8fdb-49cc-82ed-29796298ac24,2025,2,14,9,5798.356,6965.5374,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
b8f2fd54-3e8a-4b9f-aee4-274301acbb0c,2025,2,15,5,3110.8914,6143.6473000000005,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
207a15fb-308a-41ee-b139-95e62d7fdd45,2025,2,27,8,2629.7919,4046.0953,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
b5397bb6-204e-4633-93e3-2b29636d620f,2025,2,6,6,1089.7298,2238.9465999999998,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-02-01
187566a2-186d-4c8c-a8aa-f1b25ce9a43e,2025,1,282,202,422650.4301,469076.977,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
583cdadb-a85f-43ac-bb38-8b425645c04d,2025,1,438,205,51465.2696,56411.8792,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
75fa5464-20d2-477e-9096-ccd57209a9fa,2025,1,64,26,29325.5814,37595.1094,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
07663bb0-2675-463c-a332-44dab688bf21,2025,1,118,30,24542.0912,29346.995000000003,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
207a15fb-308a-41ee-b139-95e62d7fdd45,2025,1,35,9,20965.787500000002,25154.7981,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
bf0f7335-c574-4e9d-bd9a-0f39f4052807,2025,1,58,17,15193.2052,14433.5733,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
f434ce34-36b8-40c0-a638-a42302223ef6,2025,1,38,8,15058.6592,10496.6253,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
a87eacee-e27a-4d1a-ac07-7fbddc851d00,2025,1,66,20,12720.476,6792.1981,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
06d64158-8b3c-425f-93f1-54c64a9b1a6c,2025,1,43,15,11792.4806,16254.088099999999,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
b5397bb6-204e-4633-93e3-2b29636d620f,2025,1,11,10,11043.3349,15571.718799999999,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
db735799-2fb3-4cdc-aeb0-5a22eb0536d9,2025,1,76,22,6628.1656,4262.7536,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
b8f2fd54-3e8a-4b9f-aee4-274301acbb0c,2025,1,10,4,5293.836,6274.1912999999995,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
86c64954-0576-4299-86b0-89c0267790da,2025,1,88,30,5192.0832,9077.7836,"HUNGRY_FOODIES, PRUDENT_PLANNERS, GIFTERS",2025-01-01
