user_id,year,month,spend_count,cash_in_count,total_spend,total_cash_in,segments,month_year
cdc1e820-1269-4d57-a10c-e947f5a3a90d,2025,4,24,13,22670.7797,23149.9794,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
72ddf88f-120f-41de-af9c-380f8d5a9351,2025,4,102,22,9145.4459,6986.2402,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
89f9c3d4-f0a0-4fab-bfa3-20e0c2359d64,2025,4,32,9,8589.8054,6678.3676,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
4568e61b-9a82-49d6-8537-3280c5529993,2025,4,22,11,7638.3711,8194.3159,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
0e2e603b-2e55-4b54-baa1-d5ba816cd418,2025,4,11,11,7137.7003,10276.7075,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
5ad4887e-0367-4a1f-8354-1664f9839409,2025,4,7,5,6916.7939,7714.1894,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
6483a162-854a-4162-99b6-22b46d1f9277,2025,4,7,5,5442.8372,13551.6986,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
b27cf907-0f5e-481c-990a-3c34023556b1,2025,4,9,11,5005.439600000001,6784.6068000000005,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
64d1d9d6-5b2a-4b72-9bee-83d9bb6226c8,2025,4,21,10,4162.7583,4103.3046,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
7dc51534-8989-44c6-a38d-3fbf24d13c5c,2025,4,123,21,3437.1175,4827.0971,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
108981fa-b5cf-4109-b342-31d11a03fdd6,2025,4,126,11,3373.0132,2580.0153,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
89784051-5b86-4082-9b91-76ca4189f948,2025,4,15,7,3027.3356,4008.8827,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
16c23f24-1787-4592-ad9a-4182102cd368,2025,4,21,7,2970.2563999999998,3792.1408,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
6fd5e121-33cd-4444-8e8b-93f1d8ec73c6,2025,4,7,7,1862.3982,2542.2036000000003,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
68f355a5-6861-4d79-82b5-66d42832d8eb,2025,4,15,6,1740.6761999999999,1674.7529,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
a8f19896-d0ed-4c8f-8bbd-db9de3d7567c,2025,4,19,10,1543.9369,1999.8701,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
e7b5af71-bd00-4270-bae4-c3ccbe384b99,2025,4,15,6,1454.9908,946.9359,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
592c9202-0521-48cd-8e33-74de34621fc3,2025,4,42,12,1396.8632,1895.6643,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
12fb57aa-97bb-4790-92dd-5dd49b9ea4b2,2025,4,57,6,1360.4765,896.7416,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
5d4bf56f-9505-493e-8f7e-f2dd798c7800,2025,4,4,3,1230.4008999999999,3069.9735,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
a5ea6d99-219c-47b5-97a4-d7fbe7410774,2025,4,14,8,1049.1692,540.3276,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
bee96039-45e5-4fcc-81cb-9f65a949347d,2025,4,8,7,1047.6373,986.183,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
76f1e01a-ef54-4a53-bd89-9bbaf86ab5e8,2025,4,45,14,982.571,1161.3921,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
662079ed-36d0-41ad-a46c-19185bc5d963,2025,4,173,50,942.1576,834.5453,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
498868fd-c9b5-44d8-aec4-4edebd6e030d,2025,4,33,12,839.9793999999999,680.1419,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
70ccfd9b-e812-4d14-99c6-5fa899355cdf,2025,4,7,6,795.2429,2185.3578,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
d962c87b-e29c-41f0-8f04-5f5e9df339ab,2025,4,8,4,680.4237,965.5426,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
da65b1cb-f1d5-4923-91e2-79a436d1bc88,2025,4,13,14,659.265,589.6037,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
7dfc74f6-97d1-409c-84b9-1c92bb3d7e54,2025,4,29,14,645.3324,312.9409,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
2176d361-ab0b-4246-a43b-0e08b72e055e,2025,4,9,4,561.9342,465.6667,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
2ca2cb25-e40b-43e8-b448-eb3eae1bd3fc,2025,4,9,5,536.1178,495.7903,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
d7234154-43b9-4dea-bc85-0046e0bb837c,2025,4,22,12,513.9328,475.0095,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
cd5fb017-43b3-4f54-a136-b2954bb3d986,2025,4,7,4,498.5291,352.2792,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
3836e332-8377-49d8-a8e9-1127ca89515b,2025,4,9,2,484.6267,2583.8633,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
85243d59-4df5-4c25-ae21-cd41f2c9a240,2025,4,14,10,415.237,353.3904,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
e6a712bd-aa70-4e30-bab5-8a7c40e8b3f8,2025,4,27,11,414.90229999999997,530.6886,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
da3214bc-7e0d-4ec5-a212-451ed15c2297,2025,4,33,7,411.8665,367.4686,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
852b4537-6698-43b7-b1c4-b0097ac7157e,2025,4,5,2,365.5466,468.5923,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
fd93dabf-c64e-49da-a3a9-ad889352bc67,2025,4,16,8,313.8398,434.1811,"PROFESSIONAL_HUSTLERS, LOAN_AND_GAMING, PRUDENT_PLANNERS",2025-04-01
