user_id,year,month,spend_count,cash_in_count,total_spend,total_cash_in,segments,month_year
5af6523e-e866-4235-bde5-f6ea84ee1c9b,2025,4,7,4,475.4185,1724.0729000000001,"PRUDENT_PLANNERS, GIFTERS",2025-04-01
d9966ded-ad8a-4180-ab24-80ecf1846dc6,2025,3,179,96,220704.53830000001,171932.7845,"PRUDENT_PLANNERS, GIFTERS",2025-03-01
fb16f918-ba55-43f5-a284-2923285b5b77,2025,3,44,39,44795.8404,51285.084500000004,"PRUDENT_PLANNERS, GIFTERS",2025-03-01
5af6523e-e866-4235-bde5-f6ea84ee1c9b,2025,3,302,55,24061.5736,16024.734,"PRUDENT_PLANNERS, GIFTERS",2025-03-01
d9966ded-ad8a-4180-ab24-80ecf1846dc6,2025,2,86,64,65682.2032,91001.9422,"PRUDENT_PLANNERS, GIFTERS",2025-02-01
5af6523e-e866-4235-bde5-f6ea84ee1c9b,2025,2,252,22,16629.141,25814.0395,"PRUDENT_PLANNERS, GIFTERS",2025-02-01
fb16f918-ba55-43f5-a284-2923285b5b77,2025,2,36,22,10329.9425,12155.1653,"PRUDENT_PLANNERS, GIFTERS",2025-02-01
d9966ded-ad8a-4180-ab24-80ecf1846dc6,2025,1,99,51,86426.7581,88068.496,"PRUDENT_PLANNERS, GIFTERS",2025-01-01
fb16f918-ba55-43f5-a284-2923285b5b77,2025,1,28,20,6851.9475,8030.727,"PRUDENT_PLANNERS, GIFTERS",2025-01-01
5af6523e-e866-4235-bde5-f6ea84ee1c9b,2025,1,181,23,5671.5793,4686.8162999999995,"PRUDENT_PLANNERS, GIFTERS",2025-01-01
